(変更しないでください) 取引先企業,(変更しないでください) 行チェックサム,(変更しないでください) 修正日,企業名,住所,社員数,資本金,企業カナ,企業名（英語）,検索文字列（略称可）,営業担当者,休眠顧客,取引先状況
87b34d46-fa31-ea11-a810-000d3a519cf6,lDtGn1GzBqoNAi3hQ9aTCB7FXqIKt0uXVTX25hQOs5vcPXvz67LqLrd6QJpIbJrYbfARG4Z509Fg890rYs/07w==,2020/1/15 0:10, 8ight Limited,,,,8ight,,,サイン #,いいえ,
91c6ef33-ff63-ea11-a811-000d3a519cf6,px6ArUVKGzVyIM5bjDelL7B7wwXMMzHH/O/+8SZWPVGzdjtavcufF1GOS+bYqDC5JAgC4xGJK6JxrK4DdUXBvw==,2020/11/12 21:33,8IGHT Japan合同会社,,,,8IGHT Japan,,, 袈琳,いいえ,
4f30da3d-4c41-ea11-a812-000d3a51d17e,QEw/gtaDRYkdIIpQuMTy/9ODhaGwSGzlnEqzpL95zJqI/yjUzVENZLYe3eF84PFcyZxIOPV6fn6+f2yFQHHZ8w==,2020/1/27 21:30,ODUKTION,,,,,,,サイン #,いいえ,
5fc71f01-9cd2-e811-a964-000d3a51dece,qnB/TeOq86F/z3rGaMOYv2+y37YoZwrnhN72Bvod3sGqmbIIBp2rs8u8b4W+XUsThWfX3rJKBVZ4aI9GhzwDAA==,2019/8/21 15:02,ーニー株式会社,,,,カーニーカブシキガイシャ,,, 鴻貴,いいえ,
d3501105-33aa-e711-811e-c4346bc53068,VYNs+UohzDnH+B0voFZk71+sE3aZia+8IGZEyW9s46BmmSHxQv+/9fvQO1dpxuExW3EGnmW4bv0l2VB/APqlMQ==,2017/10/6 1:22,ュニケーションズ株式会社,東京都渋谷区代々木3-22-7 新宿文化クイントビル3F,,1425000000,コミュニケーションズ,,,サイン #,いいえ,
9a8d73a3-32aa-e711-811e-c4346bc52044,qk2YzQ0m7leMUb5VQZoEKqPPogML4ZONOACRkh43J0aQXR1me+YzcTuL2hYmjSO+/NEGwgpDEfEtn8ZAUVBwaw==,2019/1/24 10:15,トワークス株式会社,,,,トワークス,"A10 Networks, K.K.",,サイン #,いいえ,
e3be00b0-2606-e811-80f9-480fcff27701,UaJuRl6YrFbTXmFO+PjkynNklJfSehplSZRPOTcuI6dHrvDrwTM4P2yran+gjFGJwaRUDPIZa2mXONbwnANPcw==,2018/1/31 1:33,会社,,,,A2,,,サイン #,いいえ,
1d461105-33aa-e711-811e-c4346bc53068,/7EpYt1xoSYDBCYeSCpZzmcQwdA/zJOm2MEimaTIF51KhxKFjJ5Q/WNUcbkHZ5+/Bch4657WmrajawI7I78u/Q==,2017/10/6 1:18,lus,,,,ープラス,,,サイン #,いいえ,
bd431105-33aa-e711-811e-c4346bc53068,3b77z0oZLigv9h+KcMThpOkC6vY3eJXPcuuASMbphAeItQG7kHLRLquwQ3SV5CfgS7O4/tafn8qifGYLSW1U7A==,2019/8/21 15:02,apan,,,,apan,,, 健治,いいえ,
8d1ee1cb-35aa-e711-811e-c4346bc510bc,ZEP9ap6KODdP8IUCDTQ5I/mww0pBmW64JVbm4zIKjHDSaJxMIfB7sP0qtJge5VpWHVIslxTkIuVLAo0f1lkxJw==,2019/8/21 15:02,会社,,,,AB,,, 英彦,いいえ,
974e1105-33aa-e711-811e-c4346bc53068,cG1GgywZ/POb27+0jjQXjJanBXTZDQ8L6yM8aAbdLbSkSoIMGuyh1mN/Aanw+kfJV4Y273N6p9pTpQZFrpHCfg==,2017/10/6 1:21,ベーレー株式会社,,,,ーニホンベーレーカブシキガイシャ,,,サイン #,いいえ,
609941f3-b207-eb11-a812-000d3a51d92b,RQabN/YZyf1+MoRe7bvsBAV8xCEUhU3Tc0EtGFxX6XzblKSC2Evxtt1f2Z7swjisGjLZo9WYgUf89j2j8OwBWw==,2020/10/6 9:10, Consulting (Malaysia) Sdn Bhd,,388,,,,,サイン #,いいえ,
8d9a41f3-b207-eb11-a812-000d3a51d92b,uid/nNuWEgSACYKuTAk4RzjFMT6nl57PhpsJh352DrAK9wqbBlL9LSzo3dN86X1kKI/DWOAGB1TSyr8N3G1yfA==,2020/10/6 9:11, Consulting Ltd.,,,,,,"ITコンサルティング,アウトソーシング,コンサルティングサービス,ビジネスプロセス コンサルティング,マネジメントコンサルティング,会計システムコンサルティング",サイン #,いいえ,
8504dd9a-5611-e811-80fa-480fcff267b1,r7Hq48vJZV7TKP034uG0DEMno7Y8EieU6mQYogUV9L6nTrl7bHqp8VA/fqUXGONBWsx2Im0S+duxPj+VRsMRjg==,2019/8/21 15:02,バイザーズ株式会社,,,,バイザーズ,,, 隼人,いいえ,
2f12e1cb-35aa-e711-811e-c4346bc510bc,0ANEGbpie8GoZrhdMUr3Ym2AAAvgn+6+e7bFxHQWOOIKjCAcMfTInPJh/6XHlUxEL+IG7uJ77iK901rhuOv9fA==,2020/11/12 21:23,BS,,,,ス,ABS,ABS, 正臣,いいえ,終息
0f0ee1cb-35aa-e711-811e-c4346bc510bc,S6NxF3z4XYPaAMmk6kphA2ycHHIphY4lnvF0ZkwmVsvao+YRgwwk/4zTDOlBnjZShp3FPfwjV1n3X8EfUvHPMA==,2019/1/24 10:15,on International AB,,,,on International AB,Absalon International AB,,サイン #,いいえ,
9e9541f3-b207-eb11-a812-000d3a51d92b,tlLh0l10bbtJnyPwFGBUPeAF5aPgSWPHj1GXaBqsKti/opEuw9IWh81PE0xcGYoIT9T0+WZuy6LpD3HhAiVjkQ==,2020/10/6 9:07,my of Broadcasting Science,,,,,,,サイン #,いいえ,
29cd0633-7270-ea11-a811-000d3a51d17e,5Fggflkgh98nXGb8vHrsJqublkRjw+t2LhyekmfmavVtfJoXzTclZfnCly/465ybndQoNDCbrPD0UA1kL8CLkQ==,2020/3/27 21:30,株式会社,,,,,,,サイン #,いいえ,
871be1cb-35aa-e711-811e-c4346bc510bc,+JXHQD6CcPuyeexotPA7H93xGrVQPjGxdVRMc+8p2+uCl8ZpNCgGli12be6HjDgNDBejoaW+8QGqfBFN0Bk/fA==,2020/11/12 21:24,会社,,,,ー,,ACA,サイン #,はい,休眠
0428d4cf-76c8-e811-a963-000d3a51deef,hmX3xEaiG28Ho36fz9SVb0Ngnbk/PAb0BZJuRzLbGrxA3biVfwLIvrkRF5+hZKfG/iAwkxL42k7o1KpK5/uKpA==,2018/10/5 8:15,erite,,,,erite,,,サイン #,いいえ,
9515e1cb-35aa-e711-811e-c4346bc510bc,dEMS9rjIjJVmIZIA2MfhgNmMz5Qf+QhfUFMiib/qzbx6o7nfAs6XChFOgEJKv917+V8Q21hfso/LXdiXGHJ9YQ==,2019/1/24 10:15,SPORT株式会社,,,,ート,,,サイン #,いいえ,
9572e8e3-f5c4-e711-80f1-480fcff2c6a1,tDJP8Z9Ssf6+YrWnzOy/RaWU3gnijdkshKo5C03NUhN+NNLQ10QbzFiNJ2p5pUWKN0WOcjUgjG69zY+kUfV+og==,2020/11/12 21:30,ORLDWIDE(JAPAN)K.K.,,,,ORLDWIDE(JAPAN)K.K.,ACI WORLDWIDE(JAPAN)K.K.,ACIW, Alpha俊徳,いいえ,
7f5a1105-33aa-e711-811e-c4346bc53068,DIzaQoxoUNdOXMmkBar61GQ2R06qqFvjpl0QzV+8QzlV4RDetrd6x5qy3t5FN6BlCkdU+n0IUifDAyzg/JcAZw==,2017/10/6 1:25,nc.,,,,nc.,ACN Inc.,ACN,サイン #,いいえ,
ebb6ba09-e058-ea11-a811-000d3a51d17e,wkz8VYE1gTlL1yZxsXfvMJ00KS/mvL4AMjErQB8lldjRfyhpRjCAqbKqDHoBJXD7Ksw3gZZ9adHXpuE+BAu0kA==,2020/2/26 21:36, Inc.,,,,,,,サイン #,いいえ,
3b531105-33aa-e711-811e-c4346bc53068,fWdRSxUlBSFYO/IYk58BeYl2l273nECo8ZgiYbS5J9mF5SXmElCXSgO0yxKwxqxPSp5u3GgZBPDFJEowQUgeLQ==,2020/11/12 21:26,is KK,,,,ス,Actavis KK,ACTAVIS,サイン #,はい,休眠
b09441f3-b207-eb11-a812-000d3a51d92b,PGVMuHY03lEouYWvknsHvY0osWJuWbuvyVT23+SZrwt06mY0sHtWaA17aR/Udz8ZOgbBN2tMz3wu20Dvkh/X+Q==,2020/10/6 9:06,io,,,,,,,サイン #,いいえ,
2f571105-33aa-e711-811e-c4346bc53068,g0y3zM1ZCKRUVRMEGQTtJ2iKCyhjpkYPZqPwBWEOxa0/hb9VQMT+9wD/RB5XF4bdefH+7H1MLsbYJOc4TIO0Kw==,2017/10/6 1:24,ePlatform,,,,ePlatform,,,サイン #,いいえ,
f95b2a63-4a41-ea11-a812-000d3a519cf6,R65UdwH2CqX/gEzDsy/nf800jEA4JLE69jZi59yTfWtR39iBveeesvHapGQolaLXiORnsmooq6THX+6AH19tAA==,2020/1/27 21:17,tica,,,,,,,サイン #,いいえ,
23421105-33aa-e711-811e-c4346bc53068,fLr2q7aTbcWF1k3CNHTJmNroeS8f/0PxOOE8Grb77nTlEzrc5Xsq1CdYU4Gm7KXLftKOwB6eoWWwABQmB5/keg==,2017/10/6 1:16,ive Insights株式会社,,,,ive Insights,,,サイン #,いいえ,
08f37d21-7670-ea11-a811-000d3a51d17e,mMWQR5qWibRM4jvlBed9w+iaWXwB0XMCZfjfQxvg1jVYl1wAZKblqnBaT5NPr61cTZcf8JqOuiS8VgpNzoSnvw==,2020/3/27 21:58,o Ltd.,,,,,,,サイン #,いいえ,
