(変更しないでください) JBSサービス,(変更しないでください) 行チェックサム,(変更しないでください) 修正日,サービスNo.,サービス名,サブスクリプション種別,カテゴリ
f0734608-4b12-ea11-a811-000d3a519cf6,QwTTNTppm2OMcl+19DQyUmgAZQGeLRcPbhrhpLOJZIw2fh+hENR9+ktq0a1c3ztHJf0Zo86DG2nlkVhNqgfS8Q==,2020/10/27 6:43,S0105,Office 365 ライセンスマネージャー,サブスクリプション,
06e5d742-a414-ea11-a811-000d3a519cf6,QcPrfpSqB1dNSWODWFQWNXwxcu7/RysvGBxzRRY5TUe3M/9wF89S2S8UpEjEaYw28koBxv6LWuxpis3M3GWuUA==,2020/10/27 6:43,S0106,Ambient Office アドレス帳同期サービス,サブスクリプション,
bd472700-7c15-ea11-a811-000d3a51d17e,FwqR1UCZmsSfkvh4rjPBY2AFTTtdfZprAD3fIM99NFrZWYZDHWSot7k4KmyUi6bEID7srBkfd7njiHD7i9/0rA==,2020/10/27 6:43,S0107,SCCM運用支援サービス,サブスクリプション,
82d74155-301a-ea11-a811-000d3a51d17e,pIIJtTwD/0luDvy3EKCLYL/RY8bKeoe2RaYjufLXFsqf4qhD/pP5b74celC3nBcVb6CZgspQwtR0g2neCO04+Q==,2020/10/27 6:43,S0108,Audit Log Container for Office365,サブスクリプション,
bd7f168c-a91c-ea11-a811-000d3a51d17e,bgjNZjADZ+vsQ225yYUjuUSeRqyZcsGh7OqOtUu1E8+UVF0/xGazHRXapIwxJO16NFBdh3oaw1UDTuGMAwjDXg==,2020/10/27 6:43,S0109,ファシリテーションサポートアプリ metis sofie,サブスクリプション,
2f2a97da-8120-ea11-a810-000d3a51d17e,uESq3nTqaAupXlgeI2pb9+fI0qGwEAR0Tik86slTimWoM5Drb18dcTCUrAc9soMKOueeDk30V8JJuv/4D7eBwQ==,2020/10/27 6:43,S0110,アセスメントサービス for Active Directory,非サブスクリプション,
1b021d3e-4c33-ea11-a813-000d3a519cf6,eA/lsJGfvhM+dXcFfvw4Oue6fEJtZ1paOuKVsxdRg2tBxrlWehNIL3/uSVzpEcO5IDInGtRw7GTnrJre8fmYdw==,2020/10/27 6:43,S0112,マネージドセキュリティサービス for Office 365 ATP,サブスクリプション,
889996d0-6f62-ea11-a811-000d3a519cf6,attuHxLWd2X6Lv60K/T1Utl1ikeJr0+hHiNGnQJ+EA0QsfH4YurC9HCPsj67Ss2bVukgkwKgKQU2TQnMgi8Trw==,2020/10/27 6:43,S0113,Dynamics 365　運用改善サービス,非サブスクリプション,
97183f0a-7062-ea11-a811-000d3a519cf6,oFaj9oytJ+5uuZXDwALbsRXMqtGzJp7rrZPBmqauW26/l0IgAqFU+vDUxbqeqO3VOiWxI5A5m79GE4tKjpkpUQ==,2020/10/27 6:43,S0114,スマートスタート for SharePoint Online,非サブスクリプション,
f8d50da7-7062-ea11-a811-000d3a519cf6,QKQE98HEwc+hCN/9wzX3BhbZlm/XhoshU3k0UjSCSYUpZ9iEB8b5yVwlkwvr09qNpbyCAH93MF/RDks/TmZ+OQ==,2020/10/27 6:43,S0115,ワークスタイル変革 活用＆定着化支援サービス for Office 365,非サブスクリプション,
6ff783cb-7062-ea11-a811-000d3a519cf6,RFq2CQce3UUOFB6YHqehROeQ9X14wjFqDZ5bt1k6NW2GtwaNWUyRk7UuerWHnNw51NxBkMjNAkpVPLr6V0Ig3A==,2020/10/27 6:43,S0116,ワークスタイル変革 コンサルティングサービス,非サブスクリプション,
b94982e5-7062-ea11-a811-000d3a519cf6,nQWssbHqpqOPWjxL4ENbf2/6WWXr6iojZ67ZhzEJ/jqo6WXMfubj1HDilKG+CXIEm+cpd/AJn796G4MyLggwew==,2020/10/27 6:43,S0117,ワークスタイル変革 効果の見える化支援サービス,非サブスクリプション,
597356e8-25a6-ea11-a812-000d3a519cf6,QS+gb1hKOmKZXJzFfYF/DO7mE8IRcEWgKMP12tHhD7LXz4m1C4lfr7xChpJdiWPwXDnFIbEDnLgXR1Wc8G9N3Q==,2020/10/27 6:43,S0118,セキュアファイル転送アプリ metis fiebie,サブスクリプション,
e4db7c56-3ca6-ea11-a812-000d3a51d17e,mRH5CnEUjbppSQn4JvgoD9wdhICN4qT1H5wwLnjFOTveTaRShFFnZjAcfQBUkAAIyAhHhKwe5IqcAQDiTdijuw==,2020/10/27 6:43,S0119,スマートスタート for Microsoft Intune,非サブスクリプション,
df6d9286-3ca6-ea11-a812-000d3a51d17e,kfWCOf2mbZo7feM7EabsNAWPQ4/eUge7zR9P+6HcWu98Kg4ISV9T84724p+VWEOhijyIIhala6Z7d+1nedO8zg==,2020/10/27 6:43,S0120,サービスデスク ナレッジ活用トータルサポート,非サブスクリプション,
dbeb8785-4aa9-ea11-a812-000d3a51d17e,pJW/GSQOQBpYXTrEBppxieCe6d1uDAlUqjIZi2WVBNTmzfrlhzSbeMrikKdnRQ0lbLc7q2BcAmon0GwEMbsJSw==,2020/10/27 6:43,S0121,OpsRampサービス,サブスクリプション,
c267a436-51b0-ea11-a812-000d3a519cf6,oz543NL/XLXrRTAtt63rkjZlJbyC191e1BUEv36nDzPH47oIMLBd5iMqV7XSJAWBlDyBjc4qv8vSF+1SlgZUuQ==,2020/10/27 6:43,S0122,スマートサポート for Office 365,サブスクリプション,
5aa9cbb0-54d8-ea11-a813-000d3a519cf6,Wj49l20QteeG3wQiKI8KKKPlzr2X/MfP7YdNV8Ko9E26hqP8IPNR75C50U99odTI2Ub0N6K8wC5k/24/x09OGQ==,2020/10/27 6:43,S0123,Monitoring Bundle for Office 365,サブスクリプション,
9bc6ea89-5ad8-ea11-a813-000d3a519cf6,yJK4yfEQh30vxUa5VQwL6gpTHb/c4o2sjeDqjrceiNszGFNOYjfya9YHWde4oXE2GOknLXAfZB6SulEoVlPgcA==,2020/10/27 6:47,S0124,リモートサービスデスク,非サブスクリプション,
ee1b051a-cddd-ea11-a813-000d3a519cf6,ipF4h+AO63OWADU678wZYm6d5RglC01p8gUbQgH0YGW0tJfB4v279g4O4acSabD3N7d2cG+wAhRtEwXuMQMJwA==,2020/10/27 6:43,S0125,metis for リモートセールス,非サブスクリプション,
b341ae9c-cddd-ea11-a813-000d3a519cf6,pS9YNnB6J/qEYJTqwYVTJotbwFR5nrxF+odQ6vrklq4TgqI1XwnhXT2Q6wLbpF6bUcR51aW3wVoRUn73HQNLew==,2020/10/27 6:43,S0126,S/4HANA 最短コンバージョンサービス,非サブスクリプション,
b6dbfcbe-cddd-ea11-a813-000d3a519cf6,J9VAO5JbE3i6wBETTCXXSf/jLpG//xGfwUeA4NvZVE46YR90/k+fnm1imbdIoZ1DzOL/MOowEK8tTS/RU0na7g==,2020/10/27 6:43,S0127,SAP Concur導入支援サービス,非サブスクリプション,
ce90bed9-cddd-ea11-a813-000d3a519cf6,Djm+VOOhgcI65q80bl2s0G2iBNL8bZaJat9DwYz94QOXCd6w/e5aSo+wvcVVJM4IczvJEHpxOtIeUVKd+GnD7A==,2020/10/27 6:43,S0128,AvePoint Cloud Governance 構築サービス,非サブスクリプション,
775bb3eb-cddd-ea11-a813-000d3a519cf6,y0KkVX4bEmbuqbjVgXYsQVj49aWDwPpTR9WsnFzBr7vSjkCZgQ/tYs5ZAKWtjSMSL/DGadfB3SEo/h7cbiPajw==,2020/10/27 6:43,S0129,コラボレーションスタイル診断サービス with Microsoft Workplace Anlytics,非サブスクリプション,
d87b4b05-cedd-ea11-a813-000d3a519cf6,rsxykOY4+LFWsk+jzCTDX6mlU+Poe+oaXwefBduCX6a3GKkAJlpCVEztaC1o2ztJHHI3g82Nu5TA49Kx0KJSbg==,2020/10/27 6:43,S0130,運用プランニングサービス for Microsoft 365 / Microsoft Azure,非サブスクリプション,
6e2ccf20-cedd-ea11-a813-000d3a519cf6,ofhBr60DalK9se/fTH67MMwvScrThZ/njNIoWNfW8Jhb+RAxszuzgxhX/m8lyyaNJr+o6MA/qj0dXasTPPl3kA==,2020/10/27 6:43,S0131,インサイドセールステンプレート for Dynamics 365,非サブスクリプション,
e16cf522-35f3-ea11-a815-00224866b8d8,lOWO0/A9fDnw/haBhWtegaUM91J7r6shQ+C+t4SylkY6IotRCU+YwyRoa5DdnTwaU8vPKCli9cM7GKBkbILN6w==,2020/10/27 6:43,S0132,マネージドセキュリティサービス for Azure  Advanced Threat Protection,サブスクリプション,
